MarketNo,MarketName,MarketType,YearMonth,ClosedDate
F500,彰化,魚,11303,4、11、18、25
F513,埔心,魚,11303,4、11、18、25
F722,佳里,魚,11303,4、11、18、25
F936,新港,魚,11303,3、10、17、24、31
F241,三重,魚,11303,4、11、18、21、25
F261,頭城,魚,11303,3、10、17、24、31
F300,新竹,魚,11303,4、11、18、25
F400,台中,魚,11303,4、11、18、25
F708,台南,魚,11303,4、11、18、25、26
F820,岡山,魚,11303,4、11、18、25
F916,東港,魚,11302,4、10、11、12、13、14、18、24、25
F360,苗栗,魚,11302,5、10、11、12、13、14、15、18、19、25、26
F730,新營,魚,11302,5、10、11、12、13、14、15、18、19、25、26、27
F880,澎湖,魚,11302,10、11、12
F261,頭城,魚,11302,4、8、9、10、11、12、13、14、18、24、25
F500,彰化,魚,11302,5、10、11、12、13、14、15、18、19、25、26、27
F513,埔心,魚,11302,5、10、11、12、13、14、15、18、19、25、26、27
F722,佳里,魚,11302,5、10、11、12、13、14、15、18、19、25、26、27
F270,蘇澳,魚,11302,4、7、8、9、10、11、12、13、17、18、24、25
F330,桃園,魚,11302,10、11、12、13、14、18、19、25、26
F800,高雄,魚,11302,5、10、11、12、13、14、19、26
F820,岡山,魚,11302,5、10、11、12、13、14、15、18、19、25、26、27
F950,花蓮,魚,11302,3、4、8、9、10、11、12、13、14、18、24、25、28
F241,三重,魚,11302,10、11、12、13、14、15、18、19、25、26
F826,梓官,魚,11302,8、9、10、11、12、13
F630,斗南,魚,11302,5、10、11、12、13、14、15、18、19、25、26、27
F936,新港,魚,11302,4、9、10、11、12、13、14、17、18、24、25、28
F109,台北,魚,11302,10、11、12、13、14、18、19、25、26
F300,新竹,魚,11302,5、10、11、12、13、14、15、18、19、25、26、27
F708,台南,魚,11302,5、10、11、12、13、14、15、18、19、25、26、27
F200,基隆,魚,11302,3、4、8、9、10、11、12、13、14、18、24、25、28
F400,台中,魚,11302,5、10、11、12、13、14、15、19、25、26、27
F600,嘉義,魚,11302,5、10、11、12、13、14、15、18、19、25、26、27
F709,興達港,魚,11302,9、10、11、12、13、14、25
F950,花蓮,魚,11301,6、7、13、14、19、20、21、27、28
F300,新竹,魚,11301,8、15、22、29
F709,興達港,魚,11301,5、12、26
F109,台北,魚,11301,8、15、22、29
F261,頭城,魚,11301,7、14、21、28
F600,嘉義,魚,11301,8、15、22、29
F630,斗南,魚,11301,8、15、22、29
F708,台南,魚,11301,8、15、22、29
F200,基隆,魚,11301,6、7、13、14、20、21、27、28
F800,高雄,魚,11301,8、15、22、29
F820,岡山,魚,11301,8、15、22、29
F270,蘇澳,魚,11301,7、14、21、28
F500,彰化,魚,11301,8、15、22、29
F513,埔心,魚,11301,8、15、22、29
F722,佳里,魚,11301,8、15、22、29
F916,東港,魚,11301,7、14、15、21、28、29
F936,新港,魚,11301,7、14、21、28
F241,三重,魚,11301,8、15、22、29
F400,台中,魚,11301,8、15、22、29
F730,新營,魚,11301,8、15、22、29
